,Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD4/GFP-A+ | Freq. of Parent (%),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD8/GFP-A+ | Freq. of Parent (%),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/GFP-A+ | Freq. of Parent (%),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/Non-T Cells/GFP-A+ | Freq. of Parent (%),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/Non-T Cells/GFP-A+ | Median (Comp-B525-A :: GFP-A),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD4/GFP-A+ | Median (Comp-B525-A :: GFP-A),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD8/GFP-A+ | Median (Comp-B525-A :: GFP-A),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/GFP-A+ | Median (Comp-B525-A :: GFP-A),Beads/Singlets - Beads/Final Bead Counts | Count,Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+ | Count,Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells | Count,Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD4 | Count,Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD8 | Count,Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD4 | Freq. of Live (%),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD8 | Freq. of Live (%),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD4 | Mean (Comp-B525-A :: GFP-A),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells/CD8 | Mean (Comp-B525-A :: GFP-A),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/T Cells | Mean (Comp-B525-A :: GFP-A),Scatter/Singlets - FSC/Singlets - SSC/Live/CD45+/Non-T Cells | Mean (Comp-B525-A :: GFP-A),
Compensation Specimen_A1_Unstained.fcs,,,,,,,,,,,,,,,,,,,,
Compensation Specimen_A2_Y780 CD4.fcs,,,,,,,,,,,,,,,,,,,,
Compensation Specimen_A3_R667 CD8.fcs,,,,,,,,,,,,,,,,,,,,
Compensation Specimen_A4_Y615 mCherry.fcs,,,,,,,,,,,,,,,,,,,,
Compensation Specimen_A5_B525 GFP.fcs,,,,,,,,,,,,,,,,,,,,
Compensation Specimen_A5_V525 CD45.fcs,,,,,,,,,,,,,,,,,,,,
Compensation Specimen_A6_R780 Live_Dead.fcs,,,,,,,,,,,,,,,,,,,,
Spleen_C1_9.1.fcs,74.5,63.8,68.8,3.44,10908,15597,9831,13260,9846,245076,65459,39014,24483,15.9,9.99,16729,9965,14056,3053,
Spleen_C2_9.2.fcs,73.0,65.6,68.7,2.90,10762,15544,9897,13082,11331,229097,50403,30103,18785,13.1,8.19,16490,10083,13926,3299,
Spleen_C3_9.3.fcs,71.7,62.1,66.4,4.44,10690,15387,9540,12950,6182,240148,70343,40830,26897,17.0,11.2,16083,9522,13390,3583,
Spleen_C4_10.1.fcs,3.20,40.1,16.1,2.21,10166,7359,7457,7916,6766,246743,58658,33920,22794,13.7,9.23,2898,5485,3965,2427,
Spleen_C5_10.2.fcs,3.70,46.0,20.1,2.13,9864,7310,7734,8102,4899,244542,53998,28685,22627,11.7,9.25,3017,6065,4370,2405,
Spleen_C6_10.3.fcs,3.38,37.3,17.7,2.17,10619,7238,7143,7708,8211,249455,63762,30660,30621,12.3,12.3,3068,5277,4203,2572,
Spleen_C7_11.1.fcs,4.95,76.3,35.8,3.31,11395,8238,13038,13038,12508,245926,31988,16928,13606,6.88,5.53,3214,14366,8274,3028,
Spleen_C8_11.2.fcs,5.17,68.3,27.8,3.58,11745,8293,11205,11130,6932,246852,52742,32151,18722,13.0,7.57,3219,10438,5984,2889,
Spleen_C9_11.3.fcs,4.57,79.5,34.2,3.44,11627,8265,12777,12691,11381,249658,41318,23887,15677,9.56,6.27,3162,13312,7372,2852,
Whole Blood_D1_1.1.fcs,0.29,0.38,0.32,0.36,5824,6556,6038,6448,27913,194029,31138,12279,18466,6.12,9.21,2552,2439,2485,1711,
Whole Blood_D2_1.2.fcs,1.27,1.12,1.06,1.31,5863,6888,5979,6512,12411,133818,15516,5612,9473,4.15,7.01,2931,2666,2762,2089,
Whole Blood_D3_1.3.fcs,1.20,1.47,1.35,1.20,5843,6911,6058,6512,12202,98212,13729,4763,8656,4.76,8.66,2902,2736,2796,2030,
Whole Blood_D6_2.3.fcs,0.61,1.08,0.82,5.62,7408,7432,6448,6798,13407,21728,4759,2479,2214,10.2,9.10,2764,2501,2639,3154,
Whole Blood_D7_3.1.fcs,0.60,8.72,4.17,5.56,7734,6911,13304,12691,15395,22822,5175,3006,2076,12.2,8.40,2764,3874,3242,3095,
Whole Blood_D8_3.2.fcs,1.02,3.77,2.22,7.15,7995,6709,8432,8210,13978,17801,2746,1573,1114,8.13,5.76,2783,2782,2804,3543,
Whole Blood_D9_3.3.fcs,1.12,1.30,1.32,5.09,7632,7683,6058,6621,12607,25216,4626,2686,1851,9.92,6.84,2841,2581,2741,3051,
Whole Blood_D10_4.1.fcs,3.50,2.63,3.37,5.84,7837,7383,6302,6798,13501,25956,4894,2371,2434,8.60,8.83,3192,2893,3042,2945,
Whole Blood_D11_4.2.fcs,4.19,4.36,4.39,7.80,6934,7143,6343,6731,13300,39948,5883,2861,2890,6.71,6.77,3288,2995,3139,3021,
Whole Blood_D12_4.3.fcs,2.52,2.03,2.32,2.67,6753,7049,6219,6664,12257,37463,5646,2782,2756,7.14,7.08,2945,2709,2829,2252,
Whole Blood_E1_5.1.fcs,0.59,2.38,1.40,5.24,7003,8129,6556,6731,13722,10049,1284,674,589,6.10,5.33,2622,2518,2567,2922,
Whole Blood_E2_5.2.fcs,1.71,2.23,1.85,5.82,6427,6957,6343,6911,15054,26428,4423,2453,1880,8.62,6.61,2821,2589,2724,2805,
Whole Blood_E3_5.3.fcs,1.04,1.35,1.02,7.15,6686,6888,6018,6664,12962,9871,1569,863,667,7.13,5.51,2748,2518,2644,2860,
Whole Blood_E4_6.1.fcs,0.99,1.50,1.37,6.62,7167,7890,7383,7383,14502,12499,2263,1317,869,9.51,6.28,2724,2510,2639,3177,
Whole Blood_E5_6.2.fcs,1.23,1.13,1.37,11.7,8894,7383,6281,7049,17462,25518,3648,2269,1243,8.47,4.64,2732,2574,2676,3808,
Whole Blood_E6_6.3.fcs,1.29,1.32,1.75,8.25,7049,6888,6534,6664,15288,18425,2234,1317,835,6.33,4.02,2893,2520,2748,3504,
Whole Blood_E7_7.1.fcs,1.43,16.3,9.14,7.65,7119,6599,7432,7408,13608,4424,175,70.0,92.0,1.30,1.71,2506,4085,3350,3024,
Whole Blood_E8_7.2.fcs,2.67,17.7,10.0,7.33,7708,8602,7167,8102,16249,4894,230,75.0,141,1.24,2.34,3045,4269,3830,2991,
Whole Blood_E9_7.3.fcs,2.13,12.0,9.74,10.6,7238,8460,8923,8238,13987,2490,154,47.0,92.0,1.37,2.69,2810,3858,3486,3448,
Whole Blood_E10_8.1.fcs,13.3,39.9,35.4,7.90,8075,8864,10798,11092,14552,4120,246,60.0,158,1.22,3.21,3617,7391,6844,3693,
Whole Blood_E11_8.2.fcs,4.92,48.9,35.6,11.8,7890,7557,14186,14186,11934,5689,225,61.0,135,0.92,2.03,3435,9816,8161,5634,
Whole Blood_E12_8.3.fcs,9.30,50.0,35.6,12.1,7532,7632,11092,10200,13052,4101,118,43.0,56.0,0.87,1.13,2915,8419,6576,4219,
Whole Blood_F1_9.1.fcs,28.4,41.6,36.3,8.70,7890,15231,10548,10583,13101,3754,237,67.0,161,1.53,3.69,8634,7036,7334,3913,
Whole Blood_F2_9.2.fcs,48.6,30.1,36.2,6.82,7049,13215,11205,12188,13012,3183,116,37.0,73.0,1.04,2.06,9595,5738,7005,3079,
Whole Blood_F3_9.3.fcs,37.5,33.8,35.7,12.4,8183,10372,9964,10269,14279,4193,129,48.0,77.0,1.02,1.63,7665,6661,7052,4393,
Whole Blood_F4_10.1.fcs,6.25,25.9,17.2,15.3,10512,7262,7863,7785,13391,3049,151,64.0,81.0,1.66,2.10,2846,4515,6217,5461,
Whole Blood_F5_10.2.fcs,6.06,19.3,14.5,8.13,8102,8102,7657,8102,15997,8012,248,99.0,140,1.12,1.58,3086,4078,3710,3629,
Whole Blood_F6_10.3.fcs,2.47,11.4,7.94,11.2,9636,6448,9350,8660,18347,5395,214,81.0,123,1.33,2.03,2725,3666,3303,4193,
Whole Blood_F7_11.1.fcs,10.0,43.5,31.6,10.0,7335,6911,11864,9897,12901,2041,38.0,10.0,23.0,0.39,0.90,2698,7615,6007,4029,
Whole Blood_F8_11.2.fcs,6.67,50.0,33.5,7.74,8238,6888,10031,9701,13413,5442,167,45.0,106,0.74,1.75,2616,7521,5847,4092,
Whole Blood_F9_11.3.fcs,12.5,55.3,38.5,8.68,8238,7359,8718,8718,15532,3277,117,32.0,76.0,0.82,1.94,3065,8300,6461,4111,
Mean,,,,,,,,,,,,,,,,,,,,
SD,,,,,,,,,,,,,,,,,,,,
